ああ[編集]
愛あいり（あい あいり）（2008年）（引退）
上原深雪（うえはら みゆき）（2003年）（引退）
上原結衣（うえはら ゆい）（2010年）
上原優実（うえはら ゆうみ）（2005年）（引退）
上原ゆか（うえはら ゆか）（2003年）（引退）
上原ゆかり（うえはら ゆかり）（1987年）（引退）
上原里香（うえはら りか）（2001年）（引退）
上原リナ（うえはら りな）（2007年）
上原鈴華（うえはら りんか）（1997年）（引退）＝樹原まい、木原まい
上原留華（うえはら るか）（2004年）
上原怜奈（うえはら れな）（2012年）
上松なぎさ（うえまつ なぎさ）（2009年）
上村愛（うえむら あい）（2005年）（引退）
上村香澄（うえむら かすみ）（2010年）＝ゆうあ、坂井優羽
上村ひな（うえむら ひな）（2001年）（引退）
上村まひろ（うえむら まひろ）（1998年）（引退）
魚住里奈（うおずみ りな）（2006年）
うか[編集]
宇喜多かすみ（うきた かすみ）
うさ[編集]
宇佐木もも（うさぎもも）（2014年）
宇沙城らん（うさぎ らん）（2014年）
うさみ恭香（うさみ きょうか）（2000年）（引退）
宇佐美なな（うさみ なな）（2012年）
宇佐美奈々（うさみ なな）（1991年）（引退）
宇佐美ひとみ（うさみ ひとみ）（2008年）（引退）
宇佐美まい（うさみ まい）（2013年）
うさぎつばさ（うさぎ つばさ）（2009年）（引退）
宇佐野瞳（うさの ひとみ）（2010年）
卯水咲流（うすい さりゅう）（2013年）
臼井利奈（うすい りな）（2002年）（引退）
うた[編集]
宇多田みか（うただ みか）（2015年）
内田香織（うちだ かおり）（引退）
内田京香（うちだ きょうか）（2004年）（引退）
内田沙織（うちだ さおり）（2005年）（引退）
うちだまひろ（うちだ まひろ）（引退）
内田真由（うちだ まゆ）（2010年）
内田美奈子（うちだ みなこ）（2010年）
内田理緒（うちだ りお）（2008年）
内田りさ（うちだ りさ）（2012年）
内村りな（うちむら りな）（2013年）
内山遥（うちやま はるか）（2009年）
卯月あすか（うつき あすか）（2004年）
卯月妙子（うづき たえこ）
卯月麻衣（うづき まい）（2009年）
卯月愛美（うつき まなみ）（2008年）
卯月真奈美（うづき まなみ）（2005年）
卯月梨奈（うづき りな）
宇都宮しをん（うつのみや しをん）=安齋らら(安齋拉拉)（2013年）
内海鳩子（うつみ はとこ）（1990年）（引退）
うな[編集]
雨乃（うの）（2009年）（引退）
宇野伊織（うの いおり）（2009年）
雲乃亜美（うの つぐみ）（2014年）
宇野ゆかり（うの ゆかり）（2014年）
うま[編集]
海野なつ（うみの なつ）（2006年）
海野はるか（うみの はるか）（2001年） （引退）
宇美野ひかり（うみの ひかり）（2002年）（引退）＝佐倉美桜、海野ひかり
海野真珠（うみの まこ）
海野まりん（うみの まりん）（2005年）（引退）
梅咲ほの香（うめさき ほのか）（2010年）
梅宮彩乃（うめみや あやの）（2012年）
梅原あんな（うめはら あんな）（2008年）（引退）
梅宮あん（うめみや あん）（2008年）
梅宮かおる（うめみや かおる）
梅宮リナ（うめみや りな）（2009年）
うら[編集]
浦田みらい（うらた みらい）（2009年）＝吉田遼子
うるみゆう（うるみ ゆう）（2007年）
うるや真帆（うるや まほ）（2011年）
うん[編集]
海野空詩（うんの らら）（2014年）
え[編集]
えあ[編集]
榮倉あい（えいくら あい）（2011年）
栄倉彩（えいくら あや）
絵色千佳（えいろ ちか）（2010年）
えか[編集]
江上しほ（えがみ しほ）（2015年）
江川小春（えがわ こはる）（2010年）
江口美貴（えぐち みき）（2004年）（引退）＝彩毬
eco（えこ）（2008年）
えさ[編集]
江崎リリカ（えざき りりか）（2013年）（引退）
江尻リノ（えじり りの）（2007年）（引退）
えた[編集]
江藤ひな（えとう ひな）（2004年）（引退）＝桃咲あい
江藤七海（えとう ななみ）
江戸川らん（えどがわ らん）
えな[編集]
榎本さやか（えのもと さやか）（1999年）（引退）
榎本弥生（えのもと やよい）（2008年）
榎本ゆうな（えのもと ゆうな）（2007年）
榎本羅々（えのもと らら）（2004年）（引退）
榎本らん（えのもと らん）（2007年）
えは[編集]
江原あけみ（えはら あけみ）
絵原ゆきな（えはら ゆきな）（2013年）
蛯原ありさ（えびはら ありさ）（2008年）
蛯原かのん（えびはらかのん）（2007年）
蛯原さくら（えびはら さくら）（2013年）
海老原しのぶ（えびはら しのぶ）（2004年）
蛯原朱里（えびはら しゅり）（2006年）
海老原ひとみ（えびはら ひとみ）（2010年）（引退）
蛯原姫奈（えびはら ひめな）（2006年）（引退）
蛯原まい（えびはら まい）（2006年）
蛯原みなみ（えびはら みなみ）（2006年）
えま[編集]
恵美梨（えみり）（2001年）（引退）＝アニー麗
咲莉のあ（えみり のあ）（2014年）
江本友紀（えもと ゆき）（1996年）（引退）
えら[編集]
ERica（えりか）（2005年）（引退）
英里奈（えりな）（2008年）＝藤森くらら
絵里奈モア（えりな もあ）（2012年）
愛瑠（える）（2003年）（引退）
エルザ（えるざ）（1987年）（引退）
EREN（えれん）（2007年）
えん[編集]
円城ひとみ（えんじょう ひとみ）（2008年）
遠藤あいこ（えんどう あいこ）（2012年）
遠藤かな（えんどう かな）
艶堂しほり（えんどう しほり）（2007年）
遠藤ななみ（えんどう ななみ）（2011年）
遠藤美冬（えんどう みふゆ）（2005年）（引退）
遠藤悠美（えんどう ゆうみ）（1995年）（引退）
お[編集]
おあ[編集]
及川奈央（おいかわ なお）（2000年）（引退）
及川はるな（おいかわ はるな）（2011年）
及川ゆみり（おいかわ ゆみり）（2008年）
音市美音（おいち みお）（2011年）
桜花えり（おうか えり）（2010年）
櫻花さや（おうか さや）（2010年）
桜花りり（おうか りり）（2013年）
桜川とう美（おうかわ とうみ）（2008年）
王川ゆい（おうかわ ゆい）（2005年）
逢坂アンナ（おうさか あんな）（2013年）
桜沢まひる（おうさわ まひる）（2005年）
大石あやか（おおいし あやか）（2002年）（引退）
大石のぞみ（おおいし のぞみ）（2010年）（引退）
大石ひかる（おおいし ひかる）（1999年）（引退）
大石美咲（おおいし みさき）（2011年）
大石もえ（おおいし もえ）（2005年）
大浦あんな（おおうら あんな）（2000年）（引退）
大江友紀（おおえ ゆき）（2013年）
大川純（おおかわ じゅん）（2007年）＝安藤じゅりあ、大川怜
扇まや（おおぎ まや）（1993年）（引退）＝MAYA
大久保あすか（おおくぼ あすか）（2006年）（引退）
大久保美代子（おおくぼ みよこ）（1995年）（引退）
大倉由希恵（おおくら ゆきえ）（1996年）（引退）
大越はるか（おおこし はるか）（2005年）
大崎ちわ（おおさき ちわ）（2008年）（引退）
大崎なる美（おおさき なるみ）（1999年）（引退）
大崎美佳（おおさき みか）（2012年）（引退）
大迫直子（おおさこ なおこ）（2006年）
大迫ゆみ（おおさこ ゆみ）（2004年）
大畑愛子（おおはた あいこ）
大沢かな（おおさわ かな）（2008年）
大沢つくし（おおさわ つくし）（2010年）＝つくし
大沢瞳（おおさわ ひとみ）（1998年）（引退）
大沢真美（おおさわ まみ）（1996年）（引退）
大沢美香（おおさわ みか）（1991年）（引退）
大沢美加（おおさわ みか）（2009年）
大澤美咲（おおさわ みさき）（2014年）
大澤恵（おおさわ めぐみ）（2001年）（引退）
大沢佑香（おおさわ ゆうか）（2005年）＝晶エリー、新井エリー、西川ひとみ
大沢由季（おおさわ ゆき）（1993年）（引退）
大沢莉央（おおさわ りお）（2004年）
大沢里菜（おおさわ りな）（2012年）
大島あさみ（おおしま あさみ）（2006年）
大島彩（おおしま あや）（2011年）
大島亜矢子（おおしま あやこ）
大島みなみ（おおしま みなみ）（2010年）
大嶋恵（おおしま めぐみ）（2006年）＝大島恵美
大島りこ（おおしま りこ）（2010年）
大城かえで（おおしろ かえで）（2010年）
大城舞衣子（おおしろ まいこ）（2006年）
大城真澄（おおしろ ますみ）（2004年）＝井川留美
大城友佳（おおしろ ゆか）（2007年）（引退）
大空あかね（おおぞら あかね）（2006年）
大空あすか（おおぞら あすか）（2001年）（引退）
大空かのん（おおぞら かのん）（2009年）
大田ゆりか（おおた ゆりか）
大滝明日香（おおたき あすか）（2003年）（引退）
大滝かつ美（おおたき かつみ）（1984年）（引退）＝中山モモコ
大塚あみ（おおつか あみ）（2004年）（引退）
大塚響子（おおつか きょうこ）（2007年）＝吉岡奈々子
大塚咲（おおつか さき）（2006年）＝小野沙樹、MiCO
大塚紗奈（おおつか さな）（1998年）（引退）
大塚ひな（おおつか ひな）（2005年）（引退）
大塚まゆ（おおつか まゆ）（2012年）
大塚れん（おおつか れん）
大槻雫（おおつき しずく）（1997年）（引退）
大槻ひびき（おおつき ひびき）（2008年）
大月まゆか（おおつき まゆか）（2011年）
大槻みなみ（おおつき みなみ）（2006年）＝高橋みき
大友園子（おおとも そのこ）（2005年）（引退）
大友梨奈（おおとも りな）（1990年）（引退）
大西友里亜（おおにし ゆりあ）（1990年）（引退）＝森咲麗
大西りんか（おおにし りんか）（2014年）
大貫かりん（おおぬき かりん）（2006年）（引退）
大野藍子（おおの あいこ）（2014年）＝水沢みゆ
大野歩（おおの あゆみ）（2012年）
大野香奈（おおの かな）（2003年）（引退）
逢野まや（おおの まや）（1999年）（引退）
大野ゆか（おおの ゆか）（2008年）
大野梨華（おおの りか）（2008年）
大葉なな（おおば なな）（2007年）（引退）
大場ゆい（おおば ゆい）（2012年）
大橋くる実（おおはし くるみ）
大橋ひとみ（おおはし ひとみ）（2013年）
大橋美加子（おおはし みかこ）（1990年）（引退）
大橋未久（おおはし みく）（2007年）
大橋れみ（おおはし れみ）（2004年）
大林理恵（おおばやし りえ）（2008年）
大原里美（おおはら さとみ）（1998年）（引退）
大原みなみ（おおはら みなみ）（1991年）（引退）＝桃瀬くらら
大原めぐ（おおはら めぐ）（2006年）
大星あこ（おおほし あこ）（2005年）（引退）
大堀香奈（おおほり かな）（2010年）
大舞じゅりあ（おおまい じゅりあ）（1993年）（引退）
大見はるか（おおみ はるか）（2014年）
大南英梨子（おおみなみ えりこ）（2006年）
大桃りさ（おおもも りさ）（2013年）
大森美玲（おおもり みれい）（2012年）
大森玲菜（おおもり れな）（2013年）
おか[編集]
岡島優里（おかじま ゆうり）（2001年）（引退）
岡崎あい（おかざき あい）（2001年?）＝加藤あいら
丘咲エミリ（おかざき えみり）（2011年）
岡崎かりん（おかざき かりん）（引退）
岡崎美央（おかざき みお）（1988年）（引退）＝田中露央沙
岡崎美女（おかざき みお）（1995年）（引退）
岡崎靖子（おかざき やすこ）＝長瀬優子、山野潤子、美月ゆう子
岡崎結由（おかざき ゆゆ）（1992年）（引退）
岡崎リオナ（おかざき りおな）（1995年）（引退）
岡沢ジュン（おかざわ じゅん）（2006年）（引退）
岡島樺奈（おかじま かな）（2013年）
岡田さな（おかだ さな）（2006年）（引退）
岡田純菜（おかだ じゅんな）（1999年）（引退）
岡田裕美（おかだ ひろみ）（2005年）（引退）
緒形真理（おがた まり）（引退）
岡田真由香（おかだ まゆか）（2011年）
岡田桃子（おかだ ももこ）（2004年）＝宮崎ぱいん、京本由衣
岡田優（おかだ ゆう）（1998年）（引退）
岡田優奈（おかだ ゆうな）（1989年）（引退）
岡田りな（おかだ りな）（2000年）（引退）
緒方れいな（おがた れいな）（1999年）（引退）
岡野奈々（おかの なな）（2003年）（引退）
岡野まどか（おかの まどか）（1995年）（引退）
岡野美憂（おかの みゆう）（2001年?）（引退）
尾上ライナ（おがみ らいな）（2010年）
岡本あい（おかもと あい）（2005年?）
岡本きら（おかもと きら）（2007年）
岡本ケイ（おかもと けい）（引退）
岡本沙弥（おかもと さや）（1987年）（引退）
岡本千夏（おかもと ちなつ）（1998年）（引退）
岡本菜緒（おかもと なお）（1993年）（引退）
岡本渚（おかもと なぎさ）（2007年）
岡本奈々（おかもと なな）（2014年）
岡本百合（おかもと ゆり）（1988年）（引退）
岡山涼花（おかやま すずか）（2008年）
小川あさ美（おがわ あさみ）（2005年）
小川明日香（おがわ あすか）（1997年）（引退）
小川英美（おがわ えいみ）（引退）
緒川さら（おがわ さら）（2003年）
小川ちひろ（おがわ ちひろ）（1993年）（引退）
小川つぐみ（おがわ つぐみ）（1989年）（引退）
小川奈緒（おがわ なお）（2014年）
小川奈々（おがわ なな）
小川奈美（おがわ なみ）（2007年）
小川春菜（おがわ はるな）（1998年）（引退）
小川ひろみ（おがわ ひろみ）（引退）
小川音子（おがわ ねね）（2003年）（引退）
小川みちる（おがわ みちる）（2013年）
小川みゆき（おがわ みゆき）（2001年）（引退）
小川めるる（おがわ めるる）（2014年）
小川桃果（おがわ ももか）（2015年）
緒川ゆう（おがわ ゆう）
緒川夕貴（おがわ ゆうき）（1998年）（引退）＝朝丘南、朝丘舞
緒川りお（おがわ りお）（2013年）
緒川凛（おがわ りん）（2013年）
小川流果（おがわ るか）（2004年）（引退）
小川流菜（おがわ るな）（引退）
沖ひとみ（おき ひとみ）（2011年）
沖遙（おき はるか）（引退）
沖田杏梨（おきた あんり）（2011年）
沖田はづき（おきた はづき）（2008年）
沖田ゆいか（おきた ゆいか）（2012年）
沖田ゆかり（おきた ゆかり）（引退）
奥菜亜美（おきな あみ）（1999年）（引退）
沖那つばさ（おきな つばさ）（2002年）
奥菜つばさ（おきな つばさ）（2000年）＝川村翼
奥菜ひろみ（おきな ひろみ）（1997年）（引退）
沖野るり（おきの るり）（2014年）
荻野目翔子（おぎのめ しょうこ）（1987年）（引退）
荻原くるみ（おぎわら くるみ）（2012年）
荻原さやか（おぎわら さやか）（2001年）（引退）＝萩原さやか
荻原めぐ（おぎわら めぐ）（2004年）（引退）＝萩原めぐ
奥田咲（おくだ さき）（2011年）
奥田唯（おくだ ゆい）（1998年）（引退）
奥寺ちはる（おくでら ちはる）（1993年）（引退）
奥菜千春（おくな ちはる）（2001年）（引退）＝今井ひな
奥菜はるか（おくな はるか）（2008年）
奥村とも美（おくむら ともみ）（1997年）（引退）
奥山遥（おくやま はるか）（2002年）（引退）
奥山唯（おくやま ゆい）（1993年）（引退）
小倉ありす（おぐら ありす）（2003年）（引退）
小倉杏（おぐら あん）（2004年）（引退）
小倉多絵（おぐら たえ）（2014年）
小倉奈々（おぐら なな）（2010年）
小椋まりあ（おぐら まりあ）
小倉みなみ（おぐら みなみ）（2005年）（引退）＝愛沢かな
小倉もも（おぐら もも）（2011年）＝桃井りか、朋香めい
小倉ゆい（おぐら ゆい）（2007年）
小倉ゆず（おぐら ゆず）（2011年）
小栗杏菜（おぐり あんな）（2006年）
小栗景子（おぐり けいこ）（引退）
おぐりみく（おぐり みく）（2010年）
おさ[編集]
尾崎麻衣（おざき まい）（引退）
尾崎愛美（おざき まなみ）（1994年）（引退）
緒咲みお（おさきみお）（2015年）
尾崎美果（おざき みか）（引退）
尾崎麗美（おざき れみ）（1992年）（引退）＝佐伯祐里
小山内まみ（おさない まみ）（1995年）（引退）
小沢ありさ（おざわ ありさ）（2006年）
小沢アリス（おざわ ありす）（2009年）
小澤新音（おざわ にいね）（2006年）
小沢ちさと（おざわ ちさと）（1999年）（引退）
小沢なずな（おざわ なずな）（2007年）
小沢なつき（おざわ なつき）（2004年）
小沢菜穂（おざわ なほ）（2002年）（引退）
小沢奈美（おざわ なみ）（1989年）（引退）
小澤春香（おざわ はるか）（2002年）（引退）＝鈴木あすか
小沢麻緒（おざわ まお）（2008年）
小沢まどか（おざわ まどか）（1996年）（引退）
小澤マリア（おざわ まりあ）（2005年）
小沢真理奈（おざわ まりな）（2010年）
小沢優（おざわ ゆう）（2006年）（引退）
小澤ゆうき（おざわ ゆうき）（2014年）
小沢優名（おざわ ゆうな）（2010年）
織澤リル（おざわ りる）（2008年）
推川ゆうり（おしかわ ゆうり）（2013年）
押切あやの（おしきり あやの）（2006年）
押切麗奈（おしきり れいな）（2007年）
おた[編集]
小田かおる（おだ かおる）（1983年）（引退）
織田すずめ（おだ すずめ）（2008年）（引退）
小田なるみ（おだ なるみ）（1993年）（引退）
織田真子（おだ まこ）（2010年）
織田マリナ（おだ まりな）（2009年）
織田まりん（おだ まりん）（1990年）（引退）
織田めぐみ（おだ めぐみ）（1986年）（引退）
小田由美（おだ ゆみ）（1991年）（引退）＝黒沢あゆみ
おだぎり麻央（おだぎり まお）（2007年）（引退）
小田桐まゆ（おだぎり まゆ）（1990年）（引退）
小田切みく（おだぎり みく）（2008年）
小田切りょう（おだぎり りょう）（2008年）（引退）＝桐嶋ルル
落合広美（おちあい ひろみ）（引退）
落合ユリ（おちあい ゆり）（2002年）（引退）
落合ゆき（おちあい ゆき）（2006年）
乙伊さやか（おとい さやか）（2001年）（引退）
乙井なずな（おとい なずな）（2009年）
乙川桜（おとかわ さくら）（2005年）
乙川紗良（おとかわ さら）（2002年?）（引退）
乙川ミキ（おとかわ みき）（2007年）（引退）
音咲絢（おとさき あや）（2001年）（引退）
音無かおり（おとなし かおり）（2012年）
音無さやか（おとなし さやか）（2012年）
乙音奈々（おとね なな）（2006年）
乙音るい（おとね るい）（2008年）
乙葉ななせ（おとは ななせ）（2012年）＝山下優衣
乙葉真希（おとは まき）（2009年）
乙女梨緒（おとめ りお）
乙羽あいか（おとわ あいか）（2007年）（引退）
乙羽いまる（おとわ いまる）（2002年）（引退）
乙羽ナナ（おとわ なな）（引退）
音羽レオン（おとわ れおん）（2009年）
音羽かなで（おとは かなで）（2009年）
乙葉ゆい（おとは ゆい）（2006年）
おな[編集]
小野茜（おの あかね）（2002年）
小野今日子（おの きょうこ）（1996年）
小野こゆき（おの こゆき）（2010年）
小野沙樹（おの さき）（2004年）＝MiCO、大塚咲
小野紗里奈（おの さりな）（2009年）
尾野真知子（おの まちこ）（2011年）
小野まどか（おの まどか）（2002年）（引退）
小野麻里亜（おの まりあ）（2011年）
小野美晴（おの みはる）（1996年）（引退）＝小松いずみ、小松いづみ
小野由美（おの ゆみ）（1989年）（引退）
尾上若葉（おのうえ わかば）（2012年）
小野瀬香恋（おのせ かれん）（2006年）＝加護範子
小野寺亜弓（おのでら あゆみ）（1994年）（引退）
小野寺沙希（おのでら さき）（2000年）（引退）＝小野寺めぐみ、吉岡恵美、沢尻マリナ
小野寺真琴（おのでら まこと）
おら[編集]
折笠弥生（おりかさ やよい）（2010年）
織田ゆめ（おりた ゆめ）（2008年）
織原えみ（おりはら えみ）（2008年）
折原栞（おりはら しおり）（2001年）（引退）
折原純子（おりはら じゅんこ）（2004年）
折原姫（おりはら ひめ）（2006年）
折原まみ（おりはら まみ）（2004年）（引退）
折原みさと（おりはら みさと）（2009年）
折原ゆかり（おりはら ゆかり）（2008年）
織本めぐみ（おりもと めぐみ）（引退）
